Amazon_SKU,price,rating,number_of_reviews,stock,url,UUID
B092C6MHMX,1584.0,4.6,11,Only 1 left in stock - order soon.,https://www.amazon.com/GeForce-3070-Founders-Graphics-Express/dp/B092C6MHMX/ref=sr_1_17?dchild=1&keywords=3070+Graphics+Card&qid=1634071435&sr=8-17,52c5d4f1-e686-44ae-830f-bfa3ffbc4c41
B095XZMSPB,2899.0,2.3,5,Only 2 left in stock - order soon.,https://www.amazon.com/2021-Newst-GeForce-Founders-AllyFlex/dp/B095XZMSPB/ref=sr_1_14?dchild=1&keywords=3080+Graphics+Card&qid=1634071437&sr=8-14,10468c4d-8957-45cf-b254-b9fb4c5b1e54
B09G6KPHKN,249.99,4.0,1,Only 11 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A087924428EQ1HOUXBKUY&url=%2FRX-560-Graphics-Eyefinity-Technology%2Fdp%2FB09G6KPHKN%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dradeon%2Brx%2B6800xt%26qid%3D1634071441%26sr%3D8-21-spons%26psc%3D1&qualifier=1634071441&id=6733095109387229&widgetName=sp_btf,1ddf6069-e0c9-45c7-98f8-35105f260691
B08R6M3JPS,0,3.3,6,out of stock,https://www.amazon.com/AMD-Radeon-RX-6900-XT/dp/B08R6M3JPS/ref=sr_1_18?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634071439&sr=8-18,9f99669a-6530-46f4-8e3c-ffa8454bcf57
B083GT6Q25,0,5.0,4,out of stock,https://www.amazon.com/Beautiful-African-Anti-Skid-Bedroom-Kitchen/dp/B083GT6Q25/ref=sr_1_10?dchild=1&keywords=radeon+rx+6800xt&qid=1634071441&sr=8-10,bb80bf34-3379-4c11-a6d5-fd026d04a6d8
B093NBMV17,2079.99,3.2,7,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A069995726V30QZ7F3H8D&url=%2FASRock-Phantom-Graphics-Polychrome-DisplayPort%2Fdp%2FB093NBMV17%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dradeon%2Brx%2B6800xt%26qid%3D1634071441%26sr%3D8-11-spons%26psc%3D1&qualifier=1634071441&id=6733095109387229&widgetName=sp_mtf,b147e1f5-69ba-4f42-ae93-f225a103d432
B093NBMV17,2079.99,3.2,7,Only 1 left in stock - order soon.,https://www.amazon.com/ASRock-Phantom-Graphics-Polychrome-DisplayPort/dp/B093NBMV17/ref=sr_1_12?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634071439&sr=8-12,b147e1f5-69ba-4f42-ae93-f225a103d432
B093NBMV17,2079.99,3.2,7,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01968767QFB4R224PK3&url=%2FASRock-Phantom-Graphics-Polychrome-DisplayPort%2Fdp%2FB093NBMV17%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DRadeon%2BRX%2B6900%2BXT%26qid%3D1634071439%26sr%3D8-1-spons%26psc%3D1&qualifier=1634071439&id=6294498324723023&widgetName=sp_atf,b147e1f5-69ba-4f42-ae93-f225a103d432
B09H3QSGYX,1614.99,0.0,0,Only 2 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06439102F0U6WO7INTUS&url=%2FGraphics-Streaming-Multiprocessors-DisplayPort-Mytrix_HDMI%2Fdp%2FB09H3QSGYX%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1634071435%26sr%3D8-11-spons%26psc%3D1&qualifier=1634071435&id=3792059594690349&widgetName=sp_mtf,209b6528-b51d-41ae-a283-f7be620cb20f
B08YWZHJDZ,1249.99,4.6,32,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-2-9-Slot/dp/B08YWZHJDZ/ref=sr_1_20?dchild=1&keywords=radeon+rx+6800xt&qid=1634071441&sr=8-20,f355083a-c6da-408d-9d9f-3b0c0bdd857d
B09HJS8XQW,2599.99,0.0,0,Only 8 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09229182Z2L5AD7SGQ8A&url=%2FGraphics-Axial-tech-2-9-Slot-DisplayPort-Mytrix_HDMI%2Fdp%2FB09HJS8XQW%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1634071437%26sr%3D8-22-spons%26psc%3D1&qualifier=1634071437&id=2615103547215858&widgetName=sp_btf,5bd8fcc6-a2cf-42ec-af41-7225b51b7f9c
B09HJS8XQW,2599.99,0.0,0,Only 8 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09229182Z2L5AD7SGQ8A&url=%2FGraphics-Axial-tech-2-9-Slot-DisplayPort-Mytrix_HDMI%2Fdp%2FB09HJS8XQW%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1634071437%26sr%3D8-22-spons%26psc%3D1&qualifier=1634071437&id=2615103547215858&widgetName=sp_btf,b6b56db1-9bc3-4db3-b5d7-c4af7a3cc2bb
B08NWHKGS9,1899.99,4.7,5,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Full-Coverage-Radiator/dp/B08NWHKGS9/ref=sr_1_7?dchild=1&keywords=radeon+rx+6800xt&qid=1634071441&sr=8-7,8917219f-0370-4b27-b94b-6c95579a0125
B0966YJGLT,2196.41,4.6,3,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Full-coverage-radiator/dp/B0966YJGLT/ref=sr_1_10?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634071439&sr=8-10,10b5190b-0735-49ac-bd91-5ca60b85f398
B08WGTL4CW,0,4.6,118,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-2-7-Slot/dp/B08WGTL4CW/ref=sr_1_13?dchild=1&keywords=3060+Graphics+Card&qid=1634071434&sr=8-13,1495ede7-1b39-4135-be47-a319175718cb
B096YQ6WVW,1629.0,4.5,27,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-2-9-Slot/dp/B096YQ6WVW/ref=sr_1_20?dchild=1&keywords=3070+Graphics+Card&qid=1634071435&sr=8-20,35712d9b-61a0-43c4-b281-a09cf3ab6d3c
B0985S4F6J,1268.99,0.0,0,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-tech-2-9-Slot/dp/B0985S4F6J/ref=sr_1_7?dchild=1&keywords=3070+Graphics+Card&qid=1634071435&sr=8-7,39cdd677-2d51-4e78-984a-2cdc6bb3c174
B08P3ZN62G,1639.99,4.1,12,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-All-Aluminum-Reinforced/dp/B08P3ZN62G/ref=sr_1_3?dchild=1&keywords=radeon+rx+6800xt&qid=1634071441&sr=8-3,145f175e-cc45-4bed-9b48-f124d328e9ca
B0932RTBT2,2099.66,0.0,0,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-All-Aluminum-Reinforced/dp/B0932RTBT2/ref=sr_1_14?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634071439&sr=8-14,1a9fd169-8a5b-40c4-9f51-5b8868f34611
B097NF8LZ7,2549.99,1.0,2,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0368250TFAWJWFPKVV6&url=%2FGeForce-Graphics-Bearings-Axial-Tech-DisplayPort%2Fdp%2FB097NF8LZ7%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1634071437%26sr%3D8-16-spons%26psc%3D1&qualifier=1634071437&id=2615103547215858&widgetName=sp_mtf,1e6c0443-56a6-45b2-aa0a-44d7caa0f32e
