MicroCenter_Price,MicroCenter_SKU,MicroCenter_Model Number,MicroCenter_Link,UUID,Product_Image
439.99,40196,DRTX2060O6GEVO,https://www.microcenter.com/product/614595/asus-geforce-rtx-2060-dual-overclocked-dual-fan-6gb-gddr6-pcie-30-graphics-card,de5d5f14-5a55-4edc-a8cf-cf3d3b3ad2fb,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/614595_040196_01_front_thumbnail.jpg
679.99,196279,DUAL-RTX3070-O8,https://www.microcenter.com/product/630682/asus-geforce-rtx-3070-dual-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card,209b6528-b51d-41ae-a283-f7be620cb20f,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/630682_196279_01_front_thumbnail.jpg
1049.99,173096,TUFRTX3080-O10G,https://www.microcenter.com/product/628318/asus-geforce-rtx-3080-tuf-gaming-overclocked-triple-fan-10gb-gddr6x-pcie-40-graphics-card,da200194-f0bd-45f2-bc5e-c18b3af333b1,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/628318_173096_01_front_thumbnail.jpg
2229.99,177071,STXRTX3090-O24G,https://www.microcenter.com/product/628685/asus-geforce-rtx-3090-strix-overclocked-triple-fan-24gb-gddr6x-pcie-40-graphics-card,72ea6e4b-8c7a-4927-af47-6ea3e9a58af6,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/628685_177071_01_front_thumbnail.jpg
2129.99,173120,TUFRTX3090-O24G,https://www.microcenter.com/product/628321/asus-geforce-rtx-3090-tuf-gaming-overclocked-triple-fan-24gb-gddr6x-pcie-40-graphics-card,023db2b7-2ed4-4d33-9c9b-9801003a2bb3,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/628321_173120_01_front_thumbnail.jpg
209.99,246843,DGTX1650O4GD6MN,https://www.microcenter.com/product/635036/asus-nvidia-gtx-1650-dual-overclocked-dual-fan-4gb-gddr6-pcie-30-graphics-card,3fe53c37-802d-478e-b003-78883f5f4fff,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/635036_246843_01_front_thumbnail.jpg
79.99,324053,GT730-SL-2GD5BK,https://www.microcenter.com/product/641955/asus-nvidia-geforce-gt-730-low-profile-passive-cooled-2gb-gddr5-pcie-30-graphics-card,1539eed2-8724-464d-9a93-d014b31ee80d,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/641955_324053_01_front_thumbnail.jpg
299.99,292771,PHGTX1660O6G,https://www.microcenter.com/product/639045/asus-nvidia-geforce-gtx-1660-phoenix-overclocked-single-fan-6gb-gddr5-pcie-30-graphics-card,2fb2b839-a3d0-43bd-9e44-87295b825364,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639045_292771_01_front_thumbnail.jpg
459.99,282210,STXRTX2060EVOV2,https://www.microcenter.com/product/638075/asus-nvidia-geforce-rtx-2060-rog-strix-evo-v2-gaming-triple-fan-6gb-gddr6-pcie-30-graphics-card,4a1b165f-16b0-4700-9ece-ebafe4e4ee4b,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/638075_282210_01_front_thumbnail.jpg
469.99,295071,D-RTX3060O12G-V,https://www.microcenter.com/product/639235/asus-nvidia-geforce-rtx-3060-dual-v2-overclocked-dual-fan-12gb-gddr6-pcie-40-graphics-card,af90e27a-d5bf-42aa-b1c0-34924d8ff5f8,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639235_295071_01_front_thumbnail.jpg
529.99,295022,STXRTX3060O12V2,https://www.microcenter.com/product/639240/asus-nvidia-geforce-rtx-3060-rog-strix-v2-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card,1495ede7-1b39-4135-be47-a319175718cb,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639240_295022_01_front_thumbnail.jpg
509.99,294991,TUFRTX3060O12V2,https://www.microcenter.com/product/639242/asus-nvidia-geforce-rtx-3060-tuf-gaming-v2-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card,5ba4a1ce-8a4e-4774-9e8b-bf3aab34e811,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639242_294991_01_front_thumbnail.jpg
589.99,310201,KORTX3060TIO8G2,https://www.microcenter.com/product/640596/asus-nvidia-geforce-rtx-3060-ti-ko-lhr-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card,8549d88a-e9d0-43f6-90ad-13f36624dbff,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/640596_310201_01_front_thumbnail.jpg
649.99,310193,STX3060TIO8GV2,https://www.microcenter.com/product/640595/asus-nvidia-geforce-rtx-3060-ti-rog-strix-lhr-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card,dd4df5ff-9578-4312-95dd-839262d12baf,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/640595_310193_01_front_thumbnail.jpg
609.99,295030,TUF3060TIO8GV2,https://www.microcenter.com/product/639243/asus-nvidia-geforce-rtx-3060-ti-tuf-gaming-v2-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card,4c601129-2cc8-47ba-93bb-1ebb6c1cebd9,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639243_295030_01_front_thumbnail.jpg
499.99,319236,D3060TIO8GMNV2,https://www.microcenter.com/product/641433/asus-nvidia-geforce-rtx-3060-ti-v2-mini-lhr-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card,c9d7e5c1-4bdf-4d41-8198-9e52e71cc61e,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0641433_319236.jpg
679.99,310185,DUALRTX3070O8G2,https://www.microcenter.com/product/640597/asus-nvidia-geforce-rtx-3070-dual-lhr-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card,ad276969-ae8b-4bb9-bf2d-1afde39d211b,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/640597_310185_01_front_thumbnail.jpg
729.99,307314,KORTX3070O8GV2,https://www.microcenter.com/product/640222/asus-nvidia-geforce-rtx-3070-ko-v2-lhr-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card,20e99032-c794-4abf-949a-414518796cc9,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/640222_307314_01_front_thumbnail.jpg
779.99,295014,STXRTX3070O8GV2,https://www.microcenter.com/product/639241/asus-nvidia-geforce-rtx-3070-rog-strix-v2-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card,bbe28e0b-b659-4532-a5ad-3746e28acc9e,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639241_295014_01_front_thumbnail.jpg
829.99,319194,STXR3070O8GWTV2,https://www.microcenter.com/product/641376/asus-nvidia-geforce-rtx-3070-rog-strix-white-v2-lhr-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card,25a38022-0f35-454e-9f6d-623cd248920b,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/641376_319194_01_front_thumbnail.jpg
749.99,294983,TUFRTX3070O8GV2,https://www.microcenter.com/product/639244/asus-nvidia-geforce-rtx-3070-tuf-gaming-v2-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card,a6def6f3-ee36-4029-8b07-a72652435b6a,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639244_294983_01_front_thumbnail.jpg
999.99,283184,STXRTX3070TIO8G,https://www.microcenter.com/product/638233/asus-nvidia-geforce-rtx-3070-ti-rog-strix-overclocked-triple-fan-8gb-gddr6x-pcie-40-graphics-card,35712d9b-61a0-43c4-b281-a09cf3ab6d3c,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/638233_283184_01_front_thumbnail.jpg
949.99,283176,TUFRTX3070TIO8G,https://www.microcenter.com/product/638234/asus-nvidia-geforce-rtx-3070-ti-tuf-gaming-overclocked-triple-fan-8gb-gddr6x-pcie-40-graphics-card,b4d5ea5f-4a8c-4d42-830e-4c4b9da976a7,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/638234_283176_01_front_thumbnail.jpg
1099.99,307330,STXRTX3080O10GV,https://www.microcenter.com/product/640224/asus-nvidia-geforce-rtx-3080-rog-strix-v2-lhr-gaming-overclocked-triple-fan-10gb-gddr6x-pcie-40-graphics-card,7b7ab666-8307-4a9b-bf6d-d1d49ef8dae7,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/640224_307330_01_front_thumbnail.jpg
1159.99,307348,RTX3080O10GWTV2,https://www.microcenter.com/product/640225/asus-nvidia-geforce-rtx-3080-rog-strix-v2-lhr-gaming-white-overclocked-triple-fan-10gb-gddr6x-pcie-40-graphics-card,122973be-4b69-4670-94b7-e97520b5ce38,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/640225_307348_01_front_thumbnail.jpg
1049.99,299594,TUF3080O10GV2,https://www.microcenter.com/product/639631/asus-nvidia-geforce-rtx-3080-tuf-gaming-v2-lhr-overclocked-triple-fan-10gb-gddr6x-pcie-40-graphics-card,1e6c0443-56a6-45b2-aa0a-44d7caa0f32e,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639631_299594_01_front_thumbnail.jpg
2099.99,292763,LCRTX3080TIO12G,https://www.microcenter.com/product/639047/asus-nvidia-geforce-rtx-3080-ti-rog-strix-lc-overclocked-hybrid-cooled-12gb-gddr6-pcie-40-graphics-card,1faa594e-be99-4131-8a17-3f327c22973f,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639047_292763_01_front_thumbnail.jpg
1999.99,279869,STXRTX3080TIO12,https://www.microcenter.com/product/637877/asus-nvidia-geforce-rtx-3080-ti-rog-strix-overclocked-triple-fan-12gb-gddr6x-pcie-40-graphics-card,5bd8fcc6-a2cf-42ec-af41-7225b51b7f9c,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/637877_279869_01_front_thumbnail.jpg
1899.99,279877,TUFRTX3080TIO12,https://www.microcenter.com/product/637879/asus-nvidia-geforce-rtx-3080-ti-tuf-overclocked-triple-fan-12gb-gddr6x-pcie-40-graphics-card,d6f7ff6a-290c-4ebd-9b2a-2ac6aa6d1942,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/637879_279877_01_front_thumbnail.jpg
2349.99,213793,STXRTX3090O24GW,https://www.microcenter.com/product/631999/asus-nvidia-geforce-rtx-3090-rog-strix-white-overclocked-triple-fan-24gb-gddr6x-pcie-40-graphics-card,dbd45899-3bba-4aa1-a662-6be093519065,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/631999_213793_01_front_thumbnail.jpg
189.99,194621,PH-GTX1050TI-4G,https://www.microcenter.com/product/472489/asus-phoenix-geforce-gtx-1050-ti-single-fan-4gb-gddr5-pcie-video-card,33c6c810-04e6-42c7-bae6-dfe64f1e26ba,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/472489_194621_01_front_thumbnail.jpg
599.99,70995,STRIXRX5700XTO8,https://www.microcenter.com/product/618532/asus-radeon-rx-5700-xt-rog-strix-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card,c2fdecb9-569e-41ca-8a8a-fa351f16e126,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618532_070995_01_front_thumbnail.jpg
1199.99,210351,TUFRX6800XTO16G,https://www.microcenter.com/product/631693/asus-radeon-rx-6800-xt-tuf-gaming-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card,145f175e-cc45-4bed-9b48-f124d328e9ca,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/631693_210351_01_front_thumbnail.jpg
889.99,173013,10G-P5-3897-KR,https://www.microcenter.com/product/628346/evga-geforce-rtx-3080-ftw3-ultra-gaming-triple-fan-10gb-gddr6x-pcie-40-graphics-card,440e08a0-e14a-4812-a01e-5aee4cf9301b,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/628346_173013_01_front_thumbnail.jpg
849.99,173047,10G-P5-3885-KR,https://www.microcenter.com/product/628344/evga-geforce-rtx-3080-xc3-ultra-gaming-triple-fan-10gb-gddr6x-pcie-40-graphics-card,b481058c-eebf-4abd-b77a-bfaeeec6b156,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/628344_173047_01_front_thumbnail.jpg
