Adorama_SKU,Item Name,Price,Stock,Item URL,UUID
EV8GP53797KL,EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming 8GB GDDR6X Graphics Card,$849.99,Not in Stock,https://www.adorama.com/ev8gp53797kl.html,5d7d7b26-d49e-455f-b94f-178b5511f76d
EV8GP53797KA,EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming 8GB GDDR6X Graphics Card W/X17 Mouse,$899.99,Not in Stock,https://www.adorama.com/ev8gp53797ka.html,cd50fdd7-a583-400d-bec8-a811f8aa9d0e
EV8GP53785KL,EVGA GeForce RTX 3070 Ti XC3 Gaming 8GB GDDR6X Graphic Card,$829.95,Not in Stock,https://www.adorama.com/ev8gp53785kl.html,6e9aae44-e953-42fe-819e-960605570ea3
EV08GP53751K,"EVGA GeForce RTX 3070 XC3 8GB GDDR6 Black Gaming Graphics Card, iCX3 Cooling",$629.99,Not in Stock,https://www.adorama.com/ev08gp53751k.html,f7d7c0fd-5c78-4955-88ff-5477aa86f427
EV1GP53897KL,EVGA GeForce RTX 3080 FTW3 Ultra Gaming 10GB GDDR6X Graphics Card,$889.99,Not in Stock,https://www.adorama.com/ev1gp53897kl.html,440e08a0-e14a-4812-a01e-5aee4cf9301b
EV1GP53897KL,EVGA GeForce RTX 3080 FTW3 Ultra Gaming 10GB GDDR6X Graphics Card,$889.99,Not in Stock,https://www.adorama.com/ev1gp53897kl.html,161d0cd1-1233-4bf8-b73e-496724546f70
EV12G5396KRB,EVGA GeForce RTX 3080 Ti FTW3 Gaming 12GB GDR6X Graphics Card W/X17 Gaming Mouse,"$1,549.99",Not in Stock,https://www.adorama.com/ev12g5396krb.html,be3e2701-40f9-4106-8586-3943f7dd8679
EV12G53967KR,EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming 12GB GDDR6X Graphics Card,"$1,499.99",Not in Stock,https://www.adorama.com/ev12g53967kr.html,31956b7f-8691-454d-b809-2ce66ff91517
EV10G53881KR,"EVGA GeForce RTX 3080 XC3 Black Gaming 10GB GDDR6X Graphics Card, iCX3 Cooling",$769.99,Not in Stock,https://www.adorama.com/ev10g53881kr.html,b481058c-eebf-4abd-b77a-bfaeeec6b156
EV24GP5987KC,"EVGA GeForce RTX 3090 FTW3 24GB GDDR6X Graphics Card,iCX3 Cooling W/Z15 Keyboard","$2,149.99",Not in Stock,https://www.adorama.com/ev24gp5987kc.html,1e31f473-f78d-4892-991d-45708c4d7f4e
EV24GP5987KB,"EVGA GeForce RTX 3090 FTW3 U 24GB GDDR6X Graphics Card,iCX3 Cooling W/X17 Mouse","$2,049.99",Not in Stock,https://www.adorama.com/ev24gp5987kb.html,78aea1bd-dfd4-4b4a-a4b5-f87f78248ce4
EV24GP5987KR,"EVGA GeForce RTX 3090 FTW3 Ultra 24GB GDDR6X Graphics Card, iCX3 Cooling","$1,999.99",Not in Stock,https://www.adorama.com/ev24gp5987kr.html,b6b56db1-9bc3-4db3-b5d7-c4af7a3cc2bb
EV24GP575KRA,EVGA GeForce RTX 3090 XC3 Ultra 24GB GDDR6X Graphics Card W/EVGA X1 Gaming Mouse,"$1,929.99",Not in Stock,https://www.adorama.com/ev24gp575kra.html,54dc6a80-fbd5-419b-9a86-de61f7f43baa
EV24GP5975KR,"EVGA GeForce RTX 3090 XC3 Ultra 24GB GDDR6X Graphics Card, iCX3 Cooling","$1,799.99",Not in Stock,https://www.adorama.com/ev24gp5975kr.html,81f39c7e-e527-4449-a96c-36cb6b3c1119
MSIG3060GX12,"MSI GeForce RTX 3060 Gaming X 12GB GDDR6 Graphics Card, 3x DisplayPort, 1x HDMI",$534.99,Not in Stock,https://www.adorama.com/msig3060gx12.html,3cb44b35-5377-4344-b7cd-fc2fbcc13fc7
MSIG390GXT24,MSI GeForce RTX 3090 Gaming X TRIO 24GB GDDR6X Gaming Graphics Card,"$2,199.99",Not in Stock,https://www.adorama.com/msig390gxt24.html,452d2196-6dd2-4503-b4fd-bfa5c7a07e43
MSIG307TGXT8,MSI NVIDIA GeForce RTX 3070 Ti Gaming X Trio 8GB GDDR6X Gaming Graphics Card,$929.99,Not in Stock,https://www.adorama.com/msig307tgxt8.html,912bd6d2-1ea6-4b86-a2cc-ff251730c362
