BestBuy_Price,BestBuy_Status,BestBuy_Rating,BestBuy_Review,BestBuy_Model Number,BestBuy_SKU,BestBuy_Link,UUID
649.99,SOLD_OUT,4.9,533,08G-P5-3755-KB ,6439299,https://www.bestbuy.com/site/evga-geforce-rtx-3070-xc3-ultra-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6439299.p?skuId=6439299,f7d7c0fd-5c78-4955-88ff-5477aa86f427
679.99,SOLD_OUT,5.0,7,08G-P5-3755-KH ,6477077,https://www.bestbuy.com/site/evga-geforce-rtx-3070-xc3-ultra-gaming-8gb-gddr6-pci-express-4-0-graphics-card-light-hash-rate/6477077.p?skuId=6477077,ea45437e-d6ce-49f0-842b-d71d93efc066
869.99,SOLD_OUT,4.9,328,10G-P5-3885-KB ,6432400,https://www.bestbuy.com/site/evga-geforce-rtx-3080-xc3-ultra-gaming-10gb-gddr6-pci-express-4-0-graphics-card/6432400.p?skuId=6432400,b481058c-eebf-4abd-b77a-bfaeeec6b156
1749.99,SOLD_OUT,4.9,105,24G-P5-3975-KB ,6434198,https://www.bestbuy.com/site/evga-geforce-rtx-3090-xc3-ultra-gaming-24gb-gddr6-pci-express-4-0-graphics-card/6434198.p?skuId=6434198,81f39c7e-e527-4449-a96c-36cb6b3c1119
529.99,SOLD_OUT,4.9,203,08G-P5-3667-KB ,6444444,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3060-ti-ftw3-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6444444.p?skuId=6444444,4b491804-8ee3-4f73-adc7-5c610400df8d
529.99,SOLD_OUT,5.0,3,08G-P5-3667-KH ,6479524,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3060-ti-ftw3-gaming-8gb-gddr6-pci-express-4-0-graphics-card-lhr/6479524.p?skuId=6479524,554f3b2f-9a7f-41cc-b09b-072ef18a33b4
409.99,SOLD_OUT,4.9,208,12G-P5-3657-KB ,6454329,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3060-xc-gaming-12gb-gddr6-pci-express-4-0-graphics-card/6454329.p?skuId=6454329,f0185fd4-6724-454f-9258-49a5253af00d
1449.99,SEE_ALL_OPTIONS,4.8,22,12G-P5-3967-KB ,6467808,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3080-ti-ftw3-ultra-gaming-12gb-gddr6x-pci-express-4-0-graphics-card/6467808.p?skuId=6467808,31956b7f-8691-454d-b809-2ce66ff91517
299.99,SOLD_OUT,4.8,267,06G-P4-1667-KB ,6373500,https://www.bestbuy.com/site/evga-sc-ultra-gaming-nvidia-geforce-gtx-1660-ti-6gb-gddr6-pci-express-3-0-graphics-card-black-gray/6373500.p?skuId=6373500,0e2733ca-eec0-4309-830c-f563fb6ce8e8
239.99,SOLD_OUT,4.8,210,04G-P4-1357-KB ,6412939,https://www.bestbuy.com/site/evga-super-sc-ultra-gaming-nvidia-geforce-gtx-1650-super-4gb-gddr6-pci-express-3-0-graphics-card-black-silver/6412939.p?skuId=6412939,d88fa60c-7a7e-4515-a005-2ae330ebee68
869.99,SOLD_OUT,4.4,15,10G-P5-3885-KH ,6471615,https://www.bestbuy.com/site/evga-rtx-3080-xc3-ultra-gaming-10g-p5-3885-kh-pci-express-4-0-lhr/6471615.p?skuId=6471615,9f743822-0e9e-4108-a788-cdb034a4230f
