GameStop_SKU,Product_Price,Product_link,Product_Stock,Review,Number_of_Reviews,Product_Image,UUID
309408,836.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3080-ftw3-ultra-gaming-graphics-card/11121601.html?condition=Pre-Owned,Out of Stock,5,5,https://media.gamestop.com/i/gamestop/11121601/EVGA-GeForce-RTX-3080-FTW3-Ultra-Gaming-Graphics-Card?$pdp$,31956b7f-8691-454d-b809-2ce66ff91517
242870,2099.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3090-24-gb-gddr6x-gaming-x-trio-graphic-card/11118752.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11118752/MSI-GeForce-RTX-3090-24-GB-GDDR6X-Gaming-X-Trio-Graphic-Card?$pdp$,452d2196-6dd2-4503-b4fd-bfa5c7a07e43
242868,2339.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3090-24-gb-gddr6x-suprim-x-graphic-card/11118698.html?condition=New,Out of Stock,5,2,https://media.gamestop.com/i/gamestop/11118698/MSI-GeForce-RTX-3090-24-GB-GDDR6X-Suprim-X-Graphic-Card?$pdp$,667bbc37-a75b-4eb3-88cb-94a406b84764
233678,2229.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3090-24gb-gddr6x-pci-express-4.0-strix-graphics-card/11112502.html?condition=New,Out of Stock,4.7,42,https://media.gamestop.com/i/gamestop/11112502/GeForce-RTX-3090-24GB-GDDR6X-PCI-Express-4.0-Strix-Graphics-Card?$pdp$,dbd45899-3bba-4aa1-a662-6be093519065
252769,1979.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3090-ftw3-ultra-gaming-graphics-card/11121600.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11121600/EVGA-GeForce-RTX-3090-FTW3-Ultra-Gaming-Graphics-Card?$pdp$,b6b56db1-9bc3-4db3-b5d7-c4af7a3cc2bb
263326,69.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/nvidia-geforce-gt-710-ddr3-2-gb-graphics-card/11134963.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11134963/PNY-GeForce-GT-710-DDR3-2-GB-Graphics-Card?$pdp$,479d644b-3074-4578-9e91-793785631528
263327,246.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/nvidia-geforce-gtx-1650-gddr5-4-gb-graphics-card/11134968.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11134968/PNY-GeForce-GTX-1650-GDDR5-4-GB-Graphics-Card?$pdp$,18053c44-e012-4eec-bd2e-d09aa311cd45
263328,541.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/nvidia-geforce-gtx-1660-gddr6-graphics-card/11134959.html?condition=New,Out of Stock,1,3,https://media.gamestop.com/i/gamestop/11134959/PNY-GeForce-GTX-1660-GDDR6-Graphics-Card?$pdp$,67be3cf5-c2d2-464f-8840-bb6e07c80ac9
294752,519.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/nividia-dual-rtx-3060-12gb-graphics-card/11145198.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11145198/ASUS-Dual-RTX3060-O12G-Graphics-Card?$pdp$,af90e27a-d5bf-42aa-b1c0-34924d8ff5f8
294751,579.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/nvidia-strix-rtx-3060-12gb-graphics-card/11145170.html?condition=New,Out of Stock,4.6,5,https://media.gamestop.com/i/gamestop/11145170/ASUS-Strix-RTX-3060-12GB-Graphics-Card?$pdp$,1495ede7-1b39-4135-be47-a319175718cb
264499,919.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/rog-strix-rx6700xt-o12g-graphics-card/11135066.html?condition=New,Out of Stock,4.7,6,https://media.gamestop.com/i/gamestop/11135066/ROG-STRIX-RX6700XT-O12G-Graphics-Card?$pdp$,87643409-9f6a-4bb4-8b6c-6bbe6ecdbb77
11108140,499.99,https://www.gamestop.com/consoles-hardware/playstation-5/consoles/products/sony-playstation-5-console/11108140.html?condition=Pre-Owned,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11108140/Sony-PlayStation-5-Console?$pdp$,3a521b04-18f6-4148-9458-18b8ec447e10
264501,829.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/tuf-gaming-geforce-rtx-3070-triple-fan-8gb-gddr6-gaming-graphics-card/11135067.html?condition=New,Out of Stock,5,6,https://media.gamestop.com/i/gamestop/11135067/TUF-Gaming-GeForce-RTX-3070-Triple-Fan-8GB-GDDR6-Gaming-Graphics-Card?$pdp$,d57254a4-c2b5-4b63-b5d3-cb54e9c20170
226285,979.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/tuf-gaming-geforce-rtx-3080-graphics-card/11109446.html?condition=New,Out of Stock,2.6,5,https://media.gamestop.com/i/gamestop/11109446_ALT01/TUF-Gaming-GeForce-RTX-3080-Graphics-Card?$pdp$,1e6c0443-56a6-45b2-aa0a-44d7caa0f32e
11108371,499.99,https://www.gamestop.com/products/microsoft-xbox-series-x/11108371.html?condition=New,Out of Stock,0,0,https://media.gamestop.com/i/gamestop/11108371/Microsoft-Xbox-Series-X?$pdp$,fa1711e7-d840-4f12-b066-b2b2113e3a92
