UUID,10/16/2021,10/17/2021,10/18/2021,10/19/2021,10/20/2021,10/21/2021,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/28/21
e05ecefd-1cd4-4235-be7f-bc97c6de1998,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
32bb0177-f842-4f14-87ef-cd6bd351d3d6,na,na,na,na,na,na,na,na,na,na,Only 18 left in stock - order soon.,Only 18 left in stock - order soon.
4abc5f5f-5b0e-4dc9-99a2-f60d0e2e4594,na,na,na,na,na,na,na,na,na,na,Only 6 left in stock - order soon.,Only 6 left in stock - order soon.
03af4909-9083-4e0d-81e9-e8f3d463d060,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
fb6723d6-8b7e-4dc3-8005-b03851073c3c,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
6159b137-67c6-4907-8ce0-866852e315c3,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
9332c98d-cead-4eff-87fc-7a19fb0ee11e,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
912bd6d2-1ea6-4b86-a2cc-ff251730c362,na,na,na,na,na,na,na,na,na,na,Only 4 left in stock - order soon.,Only 4 left in stock - order soon.
452d2196-6dd2-4503-b4fd-bfa5c7a07e43,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
3cb44b35-5377-4344-b7cd-fc2fbcc13fc7,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
03667498-5524-4721-bb1c-1c467c271f9f,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
58c857eb-a0a0-40d3-92bf-9f72b6f6b3fa,na,na,na,na,na,na,na,na,na,na,Only 14 left in stock - order soon.,Only 14 left in stock - order soon.
fb33da53-3f31-46b9-9bc8-b9515db72056,na,na,na,na,na,na,na,na,na,na,Only 4 left in stock - order soon.,Only 4 left in stock - order soon.
96ac36bd-7986-4708-86c0-eb6562155c3f,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
53d2678a-39c5-4d09-94b4-743c77572a59,na,na,na,na,na,na,na,na,na,na,Only 9 left in stock - order soon.,Only 9 left in stock - order soon.
b705bf0a-dc7b-455a-a2e5-58bc3fd6ed81,na,na,na,na,na,na,na,na,na,na,Only 9 left in stock - order soon.,Only 9 left in stock - order soon.
e238d9ed-555e-48d8-bfa0-4abb27ab2b2b,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
86b315fd-d129-4e90-b543-38701d3f75af,na,na,na,na,na,na,na,na,na,na,Only 5 left in stock - order soon.,Only 5 left in stock - order soon.
a9de39b5-12e5-4bb1-a032-73315aabe3e3,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
3a521b04-18f6-4148-9458-18b8ec447e10,na,na,na,na,na,na,na,na,na,na,Only 9 left in stock - order soon.,Only 9 left in stock - order soon.
83f85860-da54-4932-8d19-98468b5749d0,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
b5085745-3df3-493a-965c-0a4e0b3bcb2e,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
664e0e0a-85b7-4d44-9969-63b7e241e439,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
9be8163b-9ccb-42d9-9e3e-ce6ae359927d,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
af4952b6-34f9-4917-b149-ddc0978d6230,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
c3cb8d3d-fded-4d1d-85a4-9ddf20730af9,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
55e037d3-a97b-4c08-af59-b87e9fb853e3,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
a193fd6c-9efd-4230-967c-c6dddc105153,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
989b8061-cc81-4769-a683-e69720fd63bb,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
774e3c49-3c45-49ff-a6c5-b7795464a71c,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
b4592e8b-bc66-4bd1-a9e2-8bd07c90df32,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
7d9c5cb1-3d7d-451d-a8b6-fd52ec098ce1,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
