Name,price,rating,number_of_reviews,stock,url
"Diocall Travel Case Compatible with Xbox Series X, Portable Carry Bag for Xbox Series X and Accessories ",34.99,,no reviews,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03025811L4NH9V48DXFK&url=%2FDiocall-Compatible-Xbox-Portable-Accessories-X%2Fdp%2FB08Y8YMTFY%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1634064922%26sr%3D8-19-spons%26psc%3D1&qualifier=1634064922&id=507996303448401&widgetName=sp_btf
Xbox Series X With Xbox Night Ops Camo Controller 1TB SSD With Tyler 2 in1 Screen Cleaner New Xbox RRT-00001 WL3-00150 ,1097.0,1.0 out of 5 stars,1,Only 19 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04691653A98DYA13UP65&url=%2FXbox-Controller-Screen-Cleaner-RRT-00001-WL3-00150%2Fdp%2FB09F89DMXK%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1634064922%26sr%3D8-20-spons%26psc%3D1&qualifier=1634064922&id=507996303448401&widgetName=sp_btf
Back 4 Blood Ultimate Edition - Xbox Series X Ultimate Edition ,99.99,5.0 out of 5 stars,1,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0432205K25RS87S52OI&url=%2FBack-Blood-Ultimate-Xbox-X%2Fdp%2FB08R21WNYD%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1634064922%26sr%3D8-21-spons%26psc%3D1&qualifier=1634064922&id=507996303448401&widgetName=sp_btf
Horizon Forbidden West Special Edition - PlayStation 5 ,79.99,,no reviews,out of stock,https://www.amazon.com/Horizon-Forbidden-West-Special-PlayStation-5/dp/B09FBGDHSC/ref=sr_1_1?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-1
PlayStation 5 Pulse 3D Wireless Headset ,99.95,4.6 out of 5 stars,"7,123",out of stock,https://www.amazon.com/PlayStation-Pulse-3D-Wireless-Headset/dp/B08H99878P/ref=sr_1_2?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-2
PlayStation 5 Digital Edition ,Not available,4.9 out of 5 stars,"6,631",out of stock,https://www.amazon.com/PlayStation-5-Digital/dp/B08FC6MR62/ref=sr_1_3?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-3
Madden NFL 22 - PlayStation 5 ,49.99,4.3 out of 5 stars,238,out of stock,https://www.amazon.com/Madden-NFL-22-PlayStation-5/dp/B096NGLW78/ref=sr_1_4?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-4
PlayStation DualSense Wireless Controller – Cosmic Red ,74.0,4.8 out of 5 stars,"33,590",out of stock,https://www.amazon.com/PlayStation-DualSense-Wireless-Controller-Cosmic-5/dp/B094WN6SY2/ref=sr_1_5?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-5
Playstation DualSense Wireless Controller ,67.0,4.8 out of 5 stars,"33,590",Only 2 left in stock - order soon.,https://www.amazon.com/DualSense-Wireless-Controller-PlayStation-5/dp/B08FC6C75Y/ref=sr_1_6?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-6
PlayStation PULSE 3D Wireless Headset – Midnight Black ,99.99,4.7 out of 5 stars,"9,612",out of stock,https://www.amazon.com/PlayStation-PULSE-3D-Wireless-Headset-5/dp/B09GBVLRLP/ref=sr_1_7?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-7
PlayStation DualSense Wireless Controller – Midnight Black ,69.0,4.8 out of 5 stars,"33,590",out of stock,https://www.amazon.com/PlayStation-DualSense-Wireless-Controller-Midnight-5/dp/B094WL86N5/ref=sr_1_8?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-8
