Product_ID,Product_Name,Product_Price,Product_link,Product_Stock
242877,GeForce RTX 3080 10 GB GDDR6X Gaming X Trio Graphic Card,"$1,079.99",https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3080-10-gb-gddr6x-gaming-x-trio-graphic-card/11118753.html?condition=New,Out of Stock
294752,Nividia Dual RTX 3060 12GB Graphics Card,$519.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/nividia-dual-rtx-3060-12gb-graphics-card/11145198.html?condition=New,Out of Stock
242881,GeForce RTX 3070 8 GB GDDR6 Gaming X Trio Graphic Card,$819.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3070-8-gb-gddr6-gaming-x-trio-graphic-card/11118701.html?condition=New,Out of Stock
242870,GeForce RTX 3090 24 GB GDDR6X Gaming X Trio Graphic Card,"$2,099.99",https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3090-24-gb-gddr6x-gaming-x-trio-graphic-card/11118752.html?condition=New,Out of Stock
264495,ASUS RTX 3070 DirectX 12 8G Graphics Card,$849.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/asus-rtx-3070-directx-12-8g-graphics-card/11135063.html?condition=New,Out of Stock
309410,GeForce RTX 3080 10 GB GDDR6X Suprim X Graphic Card,"$1,079.99",https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/geforce-rtx-3080-10-gb-gddr6x-suprim-x-graphic-card/11118761.html?condition=Pre-Owned,Out of Stock
310450,EVGA GeForce GTX 1650 SUPER SC ULTRA 4GB GDDR6 PCI Express 3.0 Graphics Card,$239.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-gtx-1650-super-sc-ultra-4gb-gddr6-pci-express-3.0-graphics-card/11159664.html?condition=New,Out of Stock
263327,NVIDIA GeForce GTX 1650 GDDR5 4 GB Graphics Card,$246.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/nvidia-geforce-gtx-1650-gddr5-4-gb-graphics-card/11134968.html?condition=New,Out of Stock
314689,MSI GeForce RTX 3060 GAMING X 12GB GDDR6 PCI Express 4.0 Graphics Card,$559.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-rtx-3060-gaming-x-12gb-gddr6-pci-express-4.0-graphics-card/11164400.html?condition=New,Out of Stock
314681,MSI GeForce GTX 1660 SUPER VENTUS XS OC 6GB GDDR6 PCI Express 3.0 Graphics Card,$459.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-gtx-1660-super-ventus-xs-oc-6gb-gddr6-pci-express-3.0-graphics-card/11164392.html?condition=New,Out of Stock
264499,ROG STRIX RX6700XT O12G Graphics Card,$919.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/rog-strix-rx6700xt-o12g-graphics-card/11135066.html?condition=New,Out of Stock
314686,MSI GXT12 RTX 3060 GAMING X TRIO 12GB GDDR6 PCI Express 4.0 Graphics Card,$589.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-gxt12-rtx-3060-gaming-x-trio-12gb-gddr6-pci-express-4.0-graphics-card/11164397.html?condition=New,Out of Stock
314676,MSI GeForce GTX 1660 Ti GAMING X 6G OC 6GB PCI Express 3.0 Graphics Card,$409.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-gtx-1660-ti-gaming-x-6g-oc-6gb-pci-express-3.0-graphics-card/11164387.html?condition=New,Out of Stock
