Product_Name,Product_Price,Product_link,Product_Stock
"EVGA GeForce RTX 3070 FTW3 Ultra Graphics Card, 8GB GDDR6, PCI Express 4.0, iCX3 Technology, ARGB LED, Metal Backplate, 1 x HDMI 2.1 3 x DisplayPort 1.4a w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",1649.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A006569431D5I3MNEET4U&url=%2FGeForce-Graphics-Technology-Backplate-DisplayPort%2Fdp%2FB08ZQ3ZH5W%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3D3070%2BGraphics%2BCard%26qid%3D1633393845%26sr%3D8-22-spons%26psc%3D1&qualifier=1633393845&id=6653941944924609&widgetName=sp_btf,Only 2 left in stock - order soon.
EVGA GeForce RTX 3070 Ti FTW3 ULTRA 8GB GDDR6X Graphic Card,$799.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3070-ti-ftw3-ultra-8gb-gddr6x-graphic-card/11153798.html?condition=New,Out of Stock
EVGA GeForce GTX 1660 SUPER SC ULTRA 6GB GDDR6 PCI Express 3.0 Graphics Card,$329.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-gtx-1660-super-sc-ultra-6gb-gddr6-pci-express-3.0-graphics-card/11159663.html?condition=New,Out of Stock
EVGA GeForce RTX 3080 Ti 12GB GDDR6X Graphics Card,"$1,399.99",https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3080-ti-12gb-gddr6x-graphics-card/11153799.html?condition=New,Out of Stock
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X PCI Express 4.0 Graphics Card,$849.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3080-xc3-ultra-10gb-gddr6x-pci-express-4.0-graphics-card/11159665.html?condition=New,Out of Stock
EVGA GeForce RTX 3070 XC3 ULTRA 8GB GDDR6 PCI Express 4.0 Graphics Card,$639.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-rtx-3070-xc3-ultra-8gb-gddr6-pci-express-4.0-graphics-card/11159666.html?condition=New,Out of Stock
EVGA GeForce GTX 1650 SUPER SC ULTRA 4GB GDDR6 PCI Express 3.0 Graphics Card,$239.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/evga-geforce-gtx-1650-super-sc-ultra-4gb-gddr6-pci-express-3.0-graphics-card/11159664.html?condition=New,Out of Stock
