Name,price,rating,number of reviews,stock,url
"Xbox Series S 512GB SSD All-Digital Console (Disc-Free Gaming), 1440p Gaming Resolution, AMD FreeSync, 4K Streaming Media Playback, WiFi, Bundle Xbox Wireless Headset w/4K HDMI ",649.0,no ratings,no reviews,out of stock,https://www.amazon.com/All-Digital-Disc-Free-Resolution-FreeSync-Streaming/dp/B09GVQ4VSV/ref=sr_1_18?dchild=1&keywords=Xbox+Series+X&qid=1633393841&sr=8-18
Lost Judgment - Xbox Series X ,59.99,,no reviews,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A103926419TWD99KVOWQK&url=%2FLost-Judgment-Xbox-X%2Fdp%2FB094F213X8%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1633393841%26sr%3D8-19-spons%26psc%3D1&qualifier=1633393841&id=7143751592909667&widgetName=sp_btf
Xbox Series S Console Bundle With MightySkins Custom Console And Controller Voucher 512GB SSD ,429.99,no ratings,no reviews,Only 14 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08207713V82I26DPUP7Y&url=%2FXbox-Console-MightySkins-Controller-Voucher-S%2Fdp%2FB09D8SQQSB%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1633393841%26sr%3D8-20-spons%26psc%3D1&qualifier=1633393841&id=7143751592909667&widgetName=sp_btf
Marvel’s Guardians of the Galaxy - Xbox Series X ,59.99,,no reviews,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A033954119GVOJYETNFJJ&url=%2FMarvels-Guardians-Galaxy-Xbox-X%2Fdp%2FB096WVGQMJ%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1633393841%26sr%3D8-21-spons%26psc%3D1&qualifier=1633393841&id=7143751592909667&widgetName=sp_btf
PlayStation 5 Console (Renewed) ,Not available,3.5 out of 5 stars,58,out of stock,https://www.amazon.com/PlayStation-5-Console-Renewed/dp/B08ZFN8YHH/ref=sr_1_1?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-1
PlayStation 5 Digital Edition ,Not available,4.9 out of 5 stars,"6,563",out of stock,https://www.amazon.com/PlayStation-5-Digital/dp/B08FC6MR62/ref=sr_1_2?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-2
Sony PlayStation 5 Standard Edition - Blu-ray | Disk edition ,979.0,3.5 out of 5 stars,15,out of stock,https://www.amazon.com/Sony-PlayStation-5-Standard-Blu-ray-Disk/dp/B094TY4NHB/ref=sr_1_3?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-3
Powever 2021 Playstation Console PS5 Disk Version Including Controller and Powever Controller Case ,959.0,4.0 out of 5 stars,41,out of stock,https://www.amazon.com/Powever-Playstation-Console-Including-Controller-5/dp/B091DQ319H/ref=sr_1_4?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-4
"2021 Playstation and VR Bundle - PS Disk Console and Wireless Controller, PSVR Headset, Camera, Adapter, Move Motion Controllers, Iron Man and EVE Valkyrie, Seyted HDMI 2.1 Cable ",1759.98,3.4 out of 5 stars,9,Only 1 left in stock - order soon.,https://www.amazon.com/2021-Playstation-Bundle-Controller-Controllers/dp/B0956N3XKC/ref=sr_1_5?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-5
Horizon Forbidden West Special Edition - PlayStation 5 ,79.99,,no reviews,out of stock,https://www.amazon.com/Horizon-Forbidden-West-Special-PlayStation-5/dp/B09FBGDHSC/ref=sr_1_6?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-6
Horizon Forbidden West Launch Edition - PlayStation 5 ,69.99,,no reviews,out of stock,https://www.amazon.com/Horizon-Forbidden-West-Launch-PlayStation-5/dp/B09FBL24D5/ref=sr_1_7?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-7
Astria Ascending - PlayStation 5 ,39.99,,no reviews,out of stock,https://www.amazon.com/Astria-Ascending-PlayStation-5/dp/B0983ZBYP5/ref=sr_1_8?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-8
"Carrying Case for PS5 - Can hold Playstation 5 host ，Controller, Games, Accessories Shidewu ",33.99,4.2 out of 5 stars,33,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02256001BM0VM7ORUUC0&url=%2FCarrying-Case-PS5-Playstation-%25EF%25BC%258CController-Accessories%2Fdp%2FB08T1D98Q6%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1633393842%26sr%3D8-9-spons%26psc%3D1%26smid%3DA2KBYB2NUQZQ0E&qualifier=1633393842&id=6299186889526003&widgetName=sp_mtf
Playstation VR Bundle Five Game Pack ,Not available,4.6 out of 5 stars,643,out of stock,https://www.amazon.com/Playstation-Bundle-Five-Game-Pack-4/dp/B07YLD3SHM/ref=sr_1_10?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-10
Play-Station 5 Disk Series Console with PS5 Madden-NFL22 & Tyler 2 in1 Screen Cleaner New Play Station 5 PS5 Console ,1067.0,no ratings,no reviews,Only 16 left in stock - order soon.,https://www.amazon.com/Play-Station-Console-Madden-NFL22-Cleaner-Station/dp/B09H3P1SLG/ref=sr_1_11?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-11
"PS5 Replacement Faceplate Cover, Housing Shell Case for Sony Playstation 5 Ultra HD/Digital Edition Console (Ultra HD, Red) ",29.99,4.6 out of 5 stars,111,out of stock,https://www.amazon.com/Replacement-Faceplate-Housing-Playstation-Digital/dp/B08V9BN1GT/ref=sr_1_12?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-12
Gran Turismo 7 Launch Edition - PlayStation 5 - PlayStation 5 ,69.99,,no reviews,out of stock,https://www.amazon.com/Gran-Turismo-Launch-PlayStation-5/dp/B09GSP5GS7/ref=sr_1_13?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-13
Play Station 5 Digital Series Console with Extra Cosmic RED Dual-Sense Controller & Tyler 2 in1 Screen Cleaner Package New PS5 Digital Console ,1029.0,no ratings,no reviews,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A070351412ELT1LA66DMJ&url=%2FStation-Digital-Console-Dual-Sense-Controller%2Fdp%2FB09HL4JD4K%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1633393842%26sr%3D8-14-spons%26psc%3D1&qualifier=1633393842&id=6299186889526003&widgetName=sp_mtf
Outcast 2 - PlayStation 5 - PlayStation 5 ,69.99,,no reviews,out of stock,https://www.amazon.com/Outcast-2-PlayStation-5/dp/B09H1XB2SG/ref=sr_1_15?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-15
SteelSeries Arctis 7P Wireless - Lossless 2.4 GHz Wireless Gaming Headset - for PlayStation 5 and PlayStation 4 - White - PlayStation 5 ,145.0,4.5 out of 5 stars,"18,999",out of stock,https://www.amazon.com/SteelSeries-Arctis-7P-Wireless-Lossless-PlayStation/dp/B08H4YMC22/ref=sr_1_16?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-16
