Product_Name,Product_Price,Product_link,Product_Stock
MSI Gaming GeForce RTX 3070 Ti 8GB GDRR6X 256-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card,Not available,https://www.amazon.com/MSI-Gaming-RTX-3070-Trio/dp/B096HJC18P/ref=sr_1_13?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-13,out of stock
MSI Gaming GeForce RTX 3070 LHR 8GB GDRR6 256-Bit HDMI/DP Nvlink Triple Torx Fan 3 Ampere Architecture OC Graphics Card,1199.0,https://www.amazon.com/MSI-RTX-3070-LHR-Ventus/dp/B099NZHTQL/ref=sr_1_14?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-14,Only 20 left in stock - order soon.
MSI Gaming X Trio GeForce RTX 3070 Ti OC Graphics Card,1649.99,https://www.amazon.com/GeForce-Graphics-Triple-Fan-Architecture-DisplayPort/dp/B09D17W92Y/ref=sr_1_20?dchild=1&keywords=3070+Graphics+Card&qid=1633393845&sr=8-20,Only 5 left in stock - order soon.
MSI Gaming GeForce RTX 3080 OC Ventus 3X LHR Graphics Card,1799.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A041856926RAC45ZY6PRD&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GSD99MW%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1633393847%26sr%3D8-1-spons%26psc%3D1&qualifier=1633393847&id=1595198391419280&widgetName=sp_atf,Only 2 left in stock - order soon.
MSI Gaming GeForce RTX 3080 LHR 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 4 RGB Ampere Architecture OC Graphics Card,1849.0,https://www.amazon.com/MSI-GeForce-RTX-3080-LHR/dp/B0995S7548/ref=sr_1_3?dchild=1&keywords=3080+Graphics+Card&qid=1633393847&sr=8-3,Only 2 left in stock - order soon.
MSI Gaming GeForce RTX 3080 10GB GDRR6X 320-Bit HDMI/DP 1920 MHz Ampere Architecture OC Graphics Card,Not available,https://www.amazon.com/MSI-RTX-3080-Architecture-10G/dp/B08QW8BKDV/ref=sr_1_5?dchild=1&keywords=3080+Graphics+Card&qid=1633393847&sr=8-5,out of stock
MSI Gaming GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 x16 ATX Video Card,Not available,https://www.amazon.com/MSI-GeForce-RTX-3080-10G/dp/B0932CTHP6/ref=sr_1_6?dchild=1&keywords=3080+Graphics+Card&qid=1633393847&sr=8-6,out of stock
MSI Gaming GeForce RTX 3080 LHR 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card,Not available,https://www.amazon.com/MSI-GeForce-RTX-3080-LHR/dp/B0987CCX66/ref=sr_1_7?dchild=1&keywords=3080+Graphics+Card&qid=1633393847&sr=8-7,out of stock
MSI Gaming GeForce RTX 3080 Ti OC Gaming Trio X Graphics Card,2299.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07477961TKLYFWZ5QCZF&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GPX5SQJ%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1633393847%26sr%3D8-11-spons%26psc%3D1&qualifier=1633393847&id=1595198391419280&widgetName=sp_mtf,Only 4 left in stock - order soon.
MSI Gaming GeForce RTX 3080 Ti OC Gaming Trio X Graphics Card,Not available,https://www.amazon.com/GeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI/dp/B09DJ4BZBN/ref=sr_1_13?dchild=1&keywords=3080+Graphics+Card&qid=1633393847&sr=8-13,out of stock
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card,Not available,https://www.amazon.com/MSI-Gaming-RTX-3080-Trio/dp/B095VZ6F73/ref=sr_1_19?dchild=1&keywords=3080+Graphics+Card&qid=1633393847&sr=8-19,out of stock
MSI Gaming GeForce RTX 3080 OC Ventus 3X LHR Graphics Card,1799.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04186693OOFBC20GVU8Q&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GSD7N36%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3D3080%2BGraphics%2BCard%26qid%3D1633393847%26sr%3D8-21-spons%26psc%3D1&qualifier=1633393847&id=1595198391419280&widgetName=sp_btf,Only 5 left in stock - order soon.
MSI Ventus 3X GeForce RTX 3090 OC Graphics Card,3699.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09155583T12ILIHM6KLP&url=%2FGraphics-Architecture-Acceleration-DisplayPort-Mytrix_HDMI%2Fdp%2FB09CHC18N9%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3D3090%2BGraphics%2BCard%26qid%3D1633393848%26sr%3D8-1-spons%26psc%3D1&qualifier=1633393848&id=5026503413331015&widgetName=sp_atf,Only 5 left in stock - order soon.
